Order_ID,Product_Category,Price,Quantity,Customer_Rating
1001,Books,1894,4,3.8
1002,Electronics,2210,1,4.6
1003,Clothing,897,2,4.2
1004,Clothing,3890,1,2.8
1005,Electronics,3529,3,3.6
1006,Home,2228,2,4.7
1007,Home,697,3,4.8
1008,Home,2349,4,4.8
1009,Home,3522,4,2.5
1010,Home,3080,5,4.4
1011,Home,1981,5,3.0
1012,Electronics,1679,1,4.8
1013,Home,2130,2,4.2
1014,Home,733,2,2.9
1015,Clothing,2742,2,2.6
1016,Home,2703,4,5.0
1017,Electronics,331,5,3.1
1018,Electronics,3863,5,2.9
1019,Electronics,3464,1,3.4
1020,Clothing,2759,5,5.0
